"id_casa","casa","pais","campanias_activas","currency","impuestos","com_bet","com_cpa","com_rs","com_ff","com_bookie","com_total","balance","margen_beneficio","requiere_factura","datos_facturacion","cobrado","fecha_cobro","comentarios","factura","estado","created","modify"
"79","Campeón bet BR","LATAM","119","EUR","0.00","60.00","","","","","","","","1","CW Marketing B.V. Schout Bij Nacht Doormanweg 40 Damacor Office Bldg / Curacao, Curacao, 4745 / Curacao Reg Nr.: 143854","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"80","BetMotion","LATAM","122,124","EUR","0.00","40.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"81","Marathonbet","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"88","Inkabet","PE","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"89","Bwin CO","CO","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"90","Fezbet","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"91","Betwinner","LATAM","130,158","EUR","0.00","1160.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"92","Suertia","ES","129","EUR","0.00","60.00","","","","","","","","0","Suertia Interactiva SA Paseo Alcalde Sanchez Prados 4-5 ENT. 11 5 51001 Ceuta A65682676","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"93","101Investing","ES","","EUR","0.00","0.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"94","Brokereo","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"95","ROInvesting","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"97","Betano BR","BR","132","EUR","0.00","9495.00","","","","","","","","1","INVOICE: Kaizen Gaming International Ltd Flat B8, ‘The Atrium’, West Street, Msida MSD 1731, Malta T: +356 20 925 100 VAT: MT20370220  Por email envia sempre para v.centeno@kaizengamin.com e  affiliates.brazil@betano.com","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"98","Bet9 BR","BR","","EUR","0.00","0.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"99","Netbet BR","BR","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"100","Sportsbet.io","BR","136","EUR","0.00","30.00","","","","","","","","0","No hace falta","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"102","Unibet BR","BR","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"103","Megapari BR","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"104","Betzest","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"105","Sportimba","PE","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"106","Betmaster","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"109","Betsson ES","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"110","iApuestas","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"111","Betiton","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"112","Betfair Colombia","CO","144,150,204","EUR","0.00","9715.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"113","Luckia PT","PT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"114","PAF","ES","149","EUR","0.00","160.00","","","","","","","","1","PAF CONSULTING ABP SUCURSAL EN ESPAÑA CIF:W0322069F CALLE O´DONELL Nº12 PLANTA 2 28009 MADRID","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"116","William Hill Co","CO","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"117","Vbet BR","BR","153","EUR","0.00","80.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"119","Netbet IT","IT","","EUR","0.00","0.00","","","","","","","","1","LIVE PARTNERS  On behalf of GIMO LTD.  483 Green Lanes  Londra,  N13 4BS Partita IVA 887809160","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"124","William Hill IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"126","Snai IT","IT","","EUR","0.00","0.00","","","","","","","","1","SNAITECH SPA    Piazza della Repubblica, 32 20124 MILANO P. Iva 01729640464 cf 00754850154  /  En la descripción: USER ID NUMERO 918093 attività informativa di comparazione traffico [mes]","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"127","888 SPORT IT (tipsanalistas)","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"129","BetClic IT","IT","166","EUR","0.00","230.00","","","","","","","","1","El pago es automático. EQUINOX LIMITED, a private limited company, registered under the laws of Gibraltar, with company number 103831, whose registered office is at Sovereign Place, 117 Main Street, GX11 1AA, Gibraltar in respect of all marketing activity conducted in Italy.","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"130","Fantasyteam IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"134","Betfair IT","IT","167","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"135","Sportaza BR","BR","183","EUR","0.00","140.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"143","Sisal IT","IT","191","EUR","0.00","0.00","","","","","","","","1","Sisal Entertainment S.p.A  / Vat number of the group: 10541150966 / Fiscal Code: 02433760135  /  Recipient Code: A4707H7 /  Address: Via A. de Tocqueville 13, 20154, Milano, Italy","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"144","Versus","ES","","EUR","0.00","0.00","","","","","","","","1","Versus Online SA C/Marqués de Montemar,17 Edif. Jazmín, Local 1 52006 Melilla A73733016","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"145","Codere IT","IT","174","EUR","0.00","380.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"146","Mr Green","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"147","Vincitú IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"148","Circus","ES","178","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"149","Betsafe","PE","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"150","SportingBet","BR","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"151","London Betting Shop (LSB)","MX","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"152","Betano PT","PT","","EUR","0.00","0.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"153","Novibet IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"154","JuegoEnLinea","VE","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"155","Fastbet IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"160","Strendus","MX","","EUR","0.00","0.00","","","","","","","","1","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"164","PokerStars BR","BR","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"170","iJuego","ES","197","EUR","0.00","10.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"181","BDeal/iApuestas","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"182","BDeal/RETAbet","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"183","BDeal/Kirolbet","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"184","SportItalia Bet IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"185","Codere (betandeal)","CO","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"186","BetOBet","LATAM","194","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"187","LeoVegas IT","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"188","LeoVegas BR","BR","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"189","LeoVegas LATAM","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"190","Amuletobet","BR","","EUR","0.00","0.00","","","","","","","","1","Not Needed --- Pero podemos hacerlo si queremos. Enviar a support@sweetspotaffiliates.com e incluir nuestro ID en la plataforma.","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"191","HECTORTEST","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"193","BDeal/Zebet","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"194","20Bet","LATAM","198","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"195","Betano Chile","CL","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"196","GaleraBet","BR","202","EUR","0.00","600.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"197","Rabona","BR","201","EUR","0.00","75.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"198","FXGiants","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
"199","StarCasino","IT","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:18"
